"X","...1","s.gender","s.level","infect","read.amt","pre.readf1","pre.readf2","pre.readf3","pre.readf4","pre.readf5","pre.readf6","post.readf1","post.readf2","post.readf3","post.readf4","post.readf5","post.readf6","stress.1","stress.2","stress.3","stress.4","stress.5","stu.engage.1","stu.engage.2","stu.engage.3","stu.engage.4","stu.itcap","learn.per1","learn.per2","gpax.y1","gpax.y2","gender","t.exp","t.itcap","climate.pro.1","climate.pro.2","climate.pro.3","climate.pro.4","climate.pro.5","climate.pro.6","t.mode","location","internet","it.equip"
43,43,1,1,1,3,1,1,4,1,1,1,1,4,4,4,1,4,3,2,4,4,2,3,3,2,3,2,7.4,1.88,2.03,1.05,1,2,3,3,2,3,4,5,4,1,"C",2,2
44,44,2,1,2,4,1,4,2,1,1,3,1,1,4,3,1,4,3,2,3,2,1,5,5,4,5,3,11.6,18.34,2.61,2.6,2,3,1,4,5,5,5,5,5,1,"C",2,2
45,45,1,1,2,2,1,1,1,1,1,3,1,3,4,4,1,4,2,2,1,1,1,5,5,5,5,3,13.6,19.16,2.86,2.82,2,3,1,5,3,3,4,5,4,1,"C",2,2
46,46,2,1,2,3,1,2,1,3,1,1,1,1,4,4,1,4,3,2,3,2,2,5,4,5,5,2,12.5,15.44,2.97,2.74,2,2,2,5,5,5,5,5,5,1,"C",2,1
47,47,1,1,2,3,1,4,2,1,1,3,1,4,4,4,1,4,2,1,1,1,1,5,5,5,5,3,15.2,19.54,3.49,3.46,1,2,2,3,1,3,3,1,1,1,"C",2,1
48,48,2,1,1,3,1,4,1,2,1,3,1,4,4,4,2,4,3,2,3,2,1,5,5,5,5,3,16.2,19.77,2.76,2.65,1,2,3,3,1,3,4,2,1,1,"C",2,2
49,49,1,1,1,3,1,2,4,1,1,2,1,3,4,4,1,4,3,2,3,2,1,4,3,3,5,2,13.2,9.17,3.23,2.72,2,2,2,5,5,5,5,5,5,1,"C",2,0
50,50,2,1,2,4,1,2,1,2,1,3,1,1,4,4,1,4,2,1,1,2,1,5,5,5,5,3,12.4,17.46,2.92,2.76,1,3,3,4,3,3,4,5,4,1,"C",2,2
51,51,2,1,2,2,1,2,1,2,1,2,1,2,3,4,1,4,4,2,4,4,4,4,3,4,4,1,7.9,11.69,2.5,1.95,2,2,2,5,5,5,5,5,5,1,"C",2,1
52,52,2,1,2,2,1,3,2,4,1,2,1,4,4,3,2,4,3,2,4,3,2,5,4,4,5,2,12,15.4,2.91,2.6,2,3,1,1,1,2,1,2,1,1,"C",2,2
